CONTENIDO,Unnamed: 1
,
,Presentación
,"Defunciones por año de ocurrencia, según departamento de residencia del difunto(a)"
1.0,"Defunciones por departamento de ocurrencia, según departamento de residencia del difunto(a)"
2.0,"Defunciones por sexo, según departamento de residencia del difunto(a) y edades simples"
3.0,"Defunciones por sexo, según departamento de residencia del difunto(a) y grupos de edad"
4.0,"Defunciones por sexo, según departamento de residencia del difunto(a), estado civil y grupos de edad"
5.0,"Defunciones por sexo, según edad y causas de muerte"
6.0,"Defunciones por sexo, según departamento de residencia del difunto(a) y causas de muerte"
7.0,"Defunciones por tipo de certificación, según departamento y municipio de residencia del difunto(a)"
8.0,"Defunciones por tipo de asistencia recibida, según departamento y municipio de residencia del difunto(a)"
9.0,"Defunciones por lugar de ocurrencia, según departamento y municipio de residencia del difunto(a)"
10.0,"Defunciones infantiles, neonatales y postneonatales por sexo, según departamento de residencia y edad"
11.0,"Defunciones neonatales por sexo, según edad y causas de muerte"
12.0,"Defunciones postneonatales por sexo, según edad y causas de muerte"
13.0,"Defunciones por mes de ocurrencia, según día de ocurrencia"
14.0,"Defunciones por pueblo de pertenencia del difunto(a), según departamento y municipio de su residencia"
15.0,"Defunciones por causas externas y sexo, según departamento de ocurrencia"
16.0,Tasa bruta de mortalidad
17.0,Nota Técnica
