CONTENIDO,Unnamed: 1
,
,Presentación
,"Nacimientos por año de ocurrencia, según departamento de residencia de la madre"
1.0,"Nacimientos por departamento de residencia de la madre, según departamento de ocurrencia"
2.0,"Nacimientos por sexo, según mes de ocurrencia y departamento de residencia de la madre"
3.0,"Nacimientos por departamento de residencia de la madre, según edades simples de la madre"
4.0,"Nacimientos por mes de ocurrencia, según día de ocurrencia"
5.0,"Nacimientos por estado civil de la madre, según departamento de su residencia"
6.0,"Nacimientos por estado civil de la madre, según grupos de edad"
7.0,"Nacimientos por estado civil del padre, según grupos de edad"
8.0,"Nacimientos por grupos de edad de la madre, según grupos de edad del padre"
9.0,"Número de hijos(as) tenidos, según edades simples de la madre"
10.0,"Nacimientos vivos y muertos por tipo de parto, según departamento de residencia de la madre"
11.0,"Nacimientos por sexo, según departamento de residencia de la madre y peso del niño(a) al nacer"
12.0,"Nacimientos por sexo, según grupos de edad de la madre y peso del niño(a) al nacer"
13.0,"Nacimientos por grupos de edad de la madre, según departamento y municipio de su residencia"
14.0,"Nacimientos por grupos de edad de la madre, según grandes grupos ocupacionales de la madre"
15.0,"Nacimientos por grupos de edad de la madre, según departamento de residencia y pueblo de pertenencia de la madre"
16.0,"Nacimientos por tipo de asistencia recibida, según departamento y municipio de residencia de la madre"
17.0,"Nacimientos por lugar donde ocurrió el nacimiento, según departamento y municipio de residencia de la madre"
18.0,"Nacimientos por sitio de ocurrencia, según departamento de residencia y vía del parto de la madre"
19.0,"Nacimientos por escolaridad de la madre, según número de hijos(as) tenidos"
20.0,"Nacimientos por tipo de inscripción, según mes de ocurrencia"
,Tasa bruta de natalidad
,Nota Técnica
