Número de defunciones,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Por departamento de residencia del difunto (a),,,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado
2022,95386,21281,1209,2142,3322,5099,2503,2165,2588,5098,3600,2089,5543,5003,4407,1530,4913,2208,2382,1759,2247,1761,3138,216,9183
2021,118465,27445,1587,2709,4354,6170,2989,3048,3920,6904,4330,2610,7135,6531,5617,1814,5423,3222,2932,2090,2815,2187,3675,208,8750
2020,96001,23719,1214,2061,3113,5333,2386,2219,2921,5616,3725,2255,5654,4764,4193,1425,4651,2306,2487,1587,2022,1649,2919,108,7674
2019,85600,18820,1126,1783,2984,4540,2121,1780,2446,4664,3205,1871,4850,4225,3859,1413,4917,2189,2152,1520,2070,1739,2738,133,8455
2018,83071,18247,1044,1737,2857,4416,2126,1839,2524,4516,2989,1901,4920,4511,4050,1401,4957,2202,2193,1490,2029,1747,2688,121,6566
2017,81726,18182,1079,1652,2893,4278,2206,1837,2420,4362,2927,1837,4853,4554,3841,1352,4899,2095,2029,1499,2137,1819,2718,111,6146
2016,82565,18540,1043,1657,2883,4294,1974,1746,2331,4476,2831,1874,4508,4324,3670,1363,4822,2074,2219,1545,2022,1767,2708,83,7811
2015,80876,18734,1088,1594,2703,4558,2246,1760,2305,4210,3046,1910,4872,4231,3836,1322,4668,2005,2121,1446,2134,1731,2784,85,5487
2014,77807,18123,1004,1546,2642,4245,2061,1683,2067,3940,2792,1729,4362,3949,3551,1174,4406,1833,1990,1400,1920,1611,2588,213,6978
2013,76639,17852,930,1569,2573,4085,2095,1720,2042,3744,2694,1729,4168,4037,3555,1206,4189,1903,1948,1391,2095,1714,2608,129,6663
2012,72657,17302,964,1605,2758,4296,2196,1675,2359,4076,2852,1667,4846,4158,3912,1311,4481,1772,1864,1468,2116,1699,2603,143,534
2011,72354,17275,919,1481,2459,3742,2023,1432,1995,3708,2564,1483,4213,3865,3394,1197,3736,1669,1783,1366,1929,1571,2481,144,5925
2010,72748,18187,993,1535,2612,3915,2134,1543,2269,3901,2794,1512,4586,4266,3967,1285,4694,1755,1874,1357,2085,1638,2589,136,1121
2009,71707,16887,1028,1537,2670,3950,2067,1743,2289,3921,2781,1621,4787,3934,3826,1238,4240,1824,1873,1294,1985,1584,2499,153,1976
2008,70233,16467,967,1540,2557,3887,2003,1639,2128,3736,2694,1488,4620,3896,3782,1258,4424,1512,1781,1313,1992,1678,2373,224,2274
2007,70030,16737,822,1533,2709,3930,1860,1689,2401,3816,2782,1623,4644,4049,3569,1170,4311,1753,1772,1349,2097,1495,2283,108,1528
2006,69756,17430,928,1503,2705,3900,1865,1705,2249,3956,2818,1587,4938,3975,3865,1233,4243,1706,1895,1264,2018,1525,2448,,
2005,71039,16919,921,1554,2595,4099,1874,1887,2386,3991,2913,1627,5127,3955,4067,1230,4532,1876,1995,1403,2031,1589,2468,,
