"Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,100.3808873960804,120.33689293521388,203.03087076126027,109.6517494070445,103.71267441576636,87.1609662255704,132.03112735563724,69.20109791292,58.30728696253226,98.45378469415616,45.00722557622146,28.098587014605968,102.44957136813888,85.39090001775995,62.15897486398134,137.01822003545158,64.40036075169553,53.54663010612768,157.36678926688506,206.7172354466791,135.35970617259125,93.98988961200764,203.85091114746766
2021,120.96614409120977,138.06881295697096,232.4546421698371,106.59233923173586,129.42020413159412,109.82065131695533,159.24929509197608,108.40175247716574,93.76752049173678,132.95509852635408,46.80024634832707,42.545760799923386,130.53791654004144,109.7734446801707,81.64113429131154,151.99045648645122,70.5279560589236,74.72964644520998,157.64112003967165,193.8398877732679,177.08803887685997,118.81721173928358,239.43089592415424
2020,97.88037761503466,114.8178850136145,178.60802267789296,96.05040639705376,84.97608366667738,124.08739298455816,116.2388308065567,71.1709541978484,60.761950382181944,118.94563548925842,49.53147633546685,42.46646830280188,98.46622460268262,84.22208931168352,51.88970393293099,118.27690322871395,61.148757343940744,66.71857023167384,145.18529889980343,186.13798066520238,125.59561698528942,77.8665238276178,184.03417425281972
2019,81.84159673081697,92.82095674737606,165.66891813277036,84.41019126512764,71.4275676050391,92.53409260507198,101.63450004035863,49.64983962709907,37.40271205155295,92.85602175756328,44.54307541553613,33.906674940340025,80.37436306504367,69.46521532498522,43.69036664279311,107.1833490655419,54.30526443938734,58.646258205106015,104.95271707062369,181.7748180931661,134.32215468955974,74.04698681623226,165.33919477625312
2018,80.08833452111863,96.10555064237545,151.3921030566182,81.54473047351775,59.713873994542716,90.96431448283074,102.20816451438479,44.4322191982617,39.3988324084657,83.9587412899299,42.89568203565016,40.006644827400066,83.44513017112507,64.85645792719193,38.414530638737986,99.16047362315253,46.65228228806646,58.68570159406463,102.11350223525771,173.48143057410178,128.47217249580953,83.77126676837655,170.11452530901872
2017,81.3865842237704,93.64367793954527,175.50763228309964,71.83060877563872,61.07694816824065,107.76199080632836,105.582600798011,51.689551858180785,42.14519910416083,84.42658866787836,42.99667706570611,45.725976661200676,77.77977140423943,66.77109610419892,38.557886813908134,109.02433468087341,50.8357428284704,53.434751910220946,100.44125902373769,175.67798344511755,139.02171840085558,81.86302584978507,170.08262525422256
2016,81.87549794063442,96.12249867379056,149.86074910891995,82.79831600145432,66.4410678968459,99.54875086235118,112.52351282420487,42.570508914949,34.802584540860806,94.83844957200503,39.84989403784329,51.45986459881467,71.78090351177106,60.99809251408051,39.394762170401215,113.81412339622663,49.1413115883399,63.25088765204251,106.31199543885921,194.333374564098,139.72243172813387,70.65428436351891,173.63734636404502
2015,82.64696928887186,100.364417461108,159.56644731139096,76.24519839294216,65.57877730902946,105.2637600108003,117.68001918763105,38.76222490492953,51.077848897194144,91.2503271976637,40.112719089331236,69.97869350025117,75.85790445691771,53.66140265332592,40.37194716554979,106.39491475622597,44.721034586642745,52.364630579179696,97.96265612575243,176.78809555437695,132.53737854111264,106.75209343303801,169.29279748549686
2014,84.08293674323723,100.72217415710209,165.25411979999447,75.59083337922647,70.73753595846632,95.59426378331172,121.81092368679259,41.260789899541145,60.54828305099129,88.04416240800131,60.0911435876689,94.70898995483995,73.6068519792197,56.58173524134848,43.096412488078855,107.84304834151393,45.41471058974865,55.8735125743358,90.51831387872399,171.1797755555322,128.3486071832537,111.36354204417569,161.94460831166245
2013,81.3547956488379,96.04055600926269,155.14981105723166,81.35422037382699,72.62985989004746,96.04861594624276,105.71852278359347,43.20944052581856,70.89224273441795,84.5618784825501,33.91456150780233,89.18494149815037,65.67101644799799,58.343532859990475,48.86398459681475,97.79856497830089,46.36086693830644,51.9950568800807,88.61583678291004,159.83691721815183,122.1686398417727,126.57789408682726,155.9942944713689
2012,79.2318086486877,92.371408232606,136.1868613353241,86.78076784313927,75.40594730393414,92.42508965923753,109.07083439593102,42.94523338710288,75.29536952210563,81.0648605897045,38.99316378435945,85.42131201240748,72.58009620015962,48.94287316364434,44.031461807799495,108.84050277652508,48.21722892825515,38.79784870944755,86.09035446122242,155.56500158662104,125.83683863615265,111.75635982649509,146.70650732926444
2011,76.85837187097903,98.0001050627581,138.70002785124944,85.1219574679535,74.74931603639116,74.56007615364068,107.40075222733692,36.223048336789596,66.68653768528955,68.12770001675099,40.59332651404122,81.85345228815913,66.3252431842909,44.451406119764336,44.86063261087466,95.71264526826799,39.09869594584302,39.83689667557793,78.04923049794417,158.6561342782312,117.29445813322525,118.22375992031631,155.75572685490565
2010,71.99316506736787,88.13820935003557,141.91367871821896,75.7290439151774,72.6171883151175,71.3939603150571,131.69123923610283,34.12365880889437,64.87688085095267,60.560482091035695,42.484601485212075,65.95125124247718,53.97846936132793,41.32607662901705,39.81721198359673,94.09813268137567,37.913543782666494,36.67221737677938,79.7515403876336,147.67472605967137,117.0009989251408,108.0404111802937,148.91295775527757
2009,67.96005641358173,78.17416114435954,159.8580199789901,62.281889810485104,68.74205493837395,64.12452893670473,138.02591476328314,31.614622913986285,66.56968426312571,62.163909982987235,47.51449670943312,77.02990019036912,53.96896658694531,36.94636942244208,38.84305918673359,82.21017406125571,35.65334459762138,27.34096122325717,72.70971351718431,148.7822344473702,127.80701977107783,100.41245119748793,148.58372889023846
2008,77.03715639646853,94.42069546670443,158.2173734592011,85.89039711677725,72.17072108504946,100.42900171808424,118.68872670710972,28.856834172315313,60.63420934439691,68.7370538002795,58.62212222301604,63.651913957564986,65.53812210585883,42.4961655316622,51.33036769111493,76.96964702975741,36.47408947241882,24.47538771561697,71.94317702547714,162.20305568747435,125.30158850256605,130.30484137999449,143.7514312251194
2007,79.98639306173298,109.38591029129744,149.0012886597938,83.69007807629919,77.94546013437358,107.37681162290639,125.10943885104555,33.1539833901945,49.974750709532756,78.48283786370487,49.36324274237534,68.31920314874127,63.286837131570074,36.179461954084836,38.203365506991666,70.98508611696641,35.38458518676369,32.29570476359776,72.96526936955672,165.31082060343837,147.78264720707438,114.16496026855958,149.82289812956904
