Año,Defunciones,Defunciones fetales,Divorcios,Matrimonios,Nacimientos
"2009","https://www.ine.gob.gt/sistema/uploads/2021/09/30/20210930225530FopQpWf6BcBWj8taVS3Q3mRKxgDsvwPe.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/30/2021093017190165sDef81WJk5MFsNyTGTixWRitUrCLY7.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730184315Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730183005QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/29/20210929192046FCRG98JyTWVAtsV4Lmtyn43QFgTufmZg.sav"
"2010","https://www.ine.gob.gt/sistema/uploads/2021/09/30/20210930225530FopQpWf6BcBWj8taVS3Q3mRKxgDsvwPe.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/30/2021093017190165sDef81WJk5MFsNyTGTixWRitUrCLY7.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730184315Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730183005QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/29/20210929192046FCRG98JyTWVAtsV4Lmtyn43QFgTufmZg.sav"
"2011","https://www.ine.gob.gt/sistema/uploads/2021/09/30/20210930225530FopQpWf6BcBWj8taVS3Q3mRKxgDsvwPe.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/30/2021093017190165sDef81WJk5MFsNyTGTixWRitUrCLY7.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730184315Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730183005QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/29/20210929192046FCRG98JyTWVAtsV4Lmtyn43QFgTufmZg.sav"
"2012","https://www.ine.gob.gt/sistema/uploads/2014/02/05/QnZLxknSHwbFfpJ8I1frbkoIKfz1BBjd.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/GhPXyAL1VPSNAtNOoEz03JYfP71a4Hoc.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/RESsr1X3WuQcTxhLVlyslBKGtHAXqSrH.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/WXeGej8DUKwWHoYgLkPLKTbyumFGYhGD.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/eET4jnH0HnFktAqwZjSqMTGA7Z6HsHtK.sav"
"2013","https://www.ine.gob.gt/sistema/uploads/2014/02/05/QnZLxknSHwbFfpJ8I1frbkoIKfz1BBjd.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/GhPXyAL1VPSNAtNOoEz03JYfP71a4Hoc.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/RESsr1X3WuQcTxhLVlyslBKGtHAXqSrH.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/WXeGej8DUKwWHoYgLkPLKTbyumFGYhGD.sav","https://www.ine.gob.gt/sistema/uploads/2014/02/05/eET4jnH0HnFktAqwZjSqMTGA7Z6HsHtK.sav"
"2014","https://www.ine.gob.gt/sistema/uploads/2016/06/28/DX2BmYU5m4JfPRhrFHwDRDEs49V7fN5I.sav","https://www.ine.gob.gt/sistema/uploads/2016/04/29/tV0ZH2weDPcWcXhUpwYwHeb4SvF8TGM0.sav","https://www.ine.gob.gt/sistema/uploads/2015/12/22/RceAnfmGqPRS02bqMI8XMzt6ZXx64XS7.sav","https://www.ine.gob.gt/sistema/uploads/2015/12/22/omV5d1Qy0U8F1h32T6IgkuNzL5d6rPYc.sav","https://www.ine.gob.gt/sistema/uploads/2015/12/22/A0tNRskw6Ax4UmBzSoS6LCQGK8cIULmH.sav"
"2015","https://www.ine.gob.gt/sistema/uploads/2017/01/16/bb6vENc1cmPlBToSEEr6HESWdZk6tHFs.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/PqrbKvoTCXA0f3A1TR7rlwL7R545pAZ4.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/2W4N7bnfbaVntLsINTDXCUZ57oCLyC3o.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/4SRVVUxXZXkoQGnZKjH4bYaW8tPyYdhQ.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/CkmC48kt3RcxM5jVDPclPHISGWPDqBFS.sav"
"2016","https://www.ine.gob.gt/sistema/uploads/2017/01/16/bb6vENc1cmPlBToSEEr6HESWdZk6tHFs.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/PqrbKvoTCXA0f3A1TR7rlwL7R545pAZ4.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/2W4N7bnfbaVntLsINTDXCUZ57oCLyC3o.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/4SRVVUxXZXkoQGnZKjH4bYaW8tPyYdhQ.sav","https://www.ine.gob.gt/sistema/uploads/2017/01/16/CkmC48kt3RcxM5jVDPclPHISGWPDqBFS.sav"
"2017","https://www.ine.gob.gt/sistema/uploads/2018/12/26/20181226143403yBuangg238usHje9uvVXvmGqnP5bCWu0.sav","https://www.ine.gob.gt/sistema/uploads/2018/12/26/20181226143403yBuangg238usHje9uvVXvmGqnP5bCWu0.sav","https://www.ine.gob.gt/sistema/uploads/2018/12/26/20181226143330lNO5qooyMLWxGu8XJLL7BXprdvTjfO0q.sav","https://www.ine.gob.gt/sistema/uploads/2018/12/26/20181226143520PqrbKvoTCXA0f3A1TR7rlwL7R545pAZ4.sav","https://www.ine.gob.gt/sistema/uploads/2018/12/26/20181226143645oP9hz3bt6r44qxs2amGK6YQqIpGhNdg0.sav"
"2018","https://www.ine.gob.gt/sistema/uploads/2019/11/29/20191129151836xaPevkVgXaNin0L0ZmXiN4fm18JAFoLG.sav","https://www.ine.gob.gt/sistema/uploads/2019/11/29/20191129151836xaPevkVgXaNin0L0ZmXiN4fm18JAFoLG.sav","https://www.ine.gob.gt/sistema/uploads/2019/11/29/20191129151703IbgVgHc5enyxiXopUTuxcrUzC5WPkzCr.sav","https://www.ine.gob.gt/sistema/uploads/2019/11/29/20191129151512xADe9MdA1kzkD05EfolYPKJsBEP23S1S.sav","https://www.ine.gob.gt/sistema/uploads/2019/11/29/20191129151255Y1KZ2HK3GnWnOvCP6lkZunmf8PiHYFSH.sav"
"2019","https://www.ine.gob.gt/sistema/uploads/2020/12/01/20201201154851el8puh8r6zutgVKBoRIbazWluzIr25A3.sav","https://www.ine.gob.gt/sistema/uploads/2020/12/01/20201201154808hU1E5mBYrw7qBqdWxofaZsj4rULMDiJe.sav","https://www.ine.gob.gt/sistema/uploads/2020/12/01/20201201154915Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2020/12/01/20201201155014FaXwFKh8NYNiFivgBo98JEbaVMRUhaFG.sav","https://www.ine.gob.gt/sistema/uploads/2020/12/01/20201201155042pWf6BcBWj8taVS3Q3mRKxgDsvwPejgH8.sav"
"2020","https://www.ine.gob.gt/sistema/uploads/2021/09/30/20210930225530FopQpWf6BcBWj8taVS3Q3mRKxgDsvwPe.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/30/2021093017190165sDef81WJk5MFsNyTGTixWRitUrCLY7.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730184315Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730183005QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/29/20210929192046FCRG98JyTWVAtsV4Lmtyn43QFgTufmZg.sav"
"2021","https://www.ine.gob.gt/sistema/uploads/2021/09/30/20210930225530FopQpWf6BcBWj8taVS3Q3mRKxgDsvwPe.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/30/2021093017190165sDef81WJk5MFsNyTGTixWRitUrCLY7.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730184315Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav","https://www.ine.gob.gt/sistema/uploads/2021/07/30/20210730183005QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2021/09/29/20210929192046FCRG98JyTWVAtsV4Lmtyn43QFgTufmZg.sav"
"2022","https://www.ine.gob.gt/sistema/uploads/2023/09/19/20230919232405QL4dMFKDwxMZkfk1gTiHClmLsdYdyRgL.sav","https://www.ine.gob.gt/sistema/uploads/2023/08/28/20230828230013QDinUvuRa9GjopyXaTuNMXc3gd6Jq1Q1.sav","https://www.ine.gob.gt/sistema/uploads/2023/07/28/202307282030176jUXYrCteX8JWZUbSn6B6fCXUXaZQ78F.sav","https://www.ine.gob.gt/sistema/uploads/2023/07/28/20230728221653mVWH0fGZodIVidGdKRwl4tU3OHKjKnen.sav","https://www.ine.gob.gt/sistema/uploads/2023/10/03/20231003204115Yd6FWtyVWNULqHYzwTiXcRaLAl8B8jul.sav"
"2023","https://www.ine.gob.gt/sistema/uploads/2025/01/13/20250113110943IfNeqVfBO1L31APP5eqiPN59BUnP4ePA.xlsx","https://www.ine.gob.gt/sistema/uploads/2024/08/29/20240829134609P8nxydeYs0IhaBHFRqgPDSp5dCeJj5yY.xlsx","https://www.ine.gob.gt/sistema/uploads/2024/07/25/20240725131822emO14nj4jr5XWfNPqRNeFnEgRtxtdjJf.xlsx","https://www.ine.gob.gt/sistema/uploads/2024/07/25/202407251315394SRVVUxXZXkoQGnZKjH4bYaW8tPyYdhQ.xlsx","https://www.ine.gob.gt/sistema/uploads/2024/08/29/20240829172109P8nxydeYs0IhaBHFRqgPDSp5dCeJj5yY.xlsx"
"2024","https://www.ine.gob.gt/sistema/uploads/2025/10/09/20251009142616Qr9erLDhFszDZ3AgrA5NDIVCs9KURG0w.xlsx","https://www.ine.gob.gt/sistema/uploads/2025/08/28/20250828162323CkmC48kt3RcxM5jVDPclPHISGWPDqBFS.xlsx","https://www.ine.gob.gt/sistema/uploads/2025/08/06/20250806162827DG406HPyK1noFGisuuEp7dgBn6AfNrJe.xlsx","https://www.ine.gob.gt/sistema/uploads/2025/08/06/20250806162042akJPkytmTlGr1QQoommBxUNXhZ9Qhwph.xlsx","https://www.ine.gob.gt/sistema/uploads/2025/08/28/20250828160202CFwB5ymljJwZvXLFSlpWgq3rbZauORZg.xlsx"
"2025","","","","",""
